,brand,capacity,types,speed ,color,rating,price,warranty
662,Haier,8 kg,Unknown,800,Not Specified,4.3,"16,990",2
663,Haier,8 kg,Unknown,800,Not Specified,4.3,"17,490",2
664,SAMSUNG,5 kg,Front Load,1350,Grey,4.4,"9,690",3
665,Haier,7 kg,Unknown,13001300,Not Specified,4.3,"8,990",2
666,IFB,7 kg,Unknown,1200,Not Specified,4.3,"28,590",4
667,IFB,8 kg,Unknown,1200,Not Specified,4.3,"33,990",4
668,realme,5 kg,Top Load,1400,Grey,4.2,"9,690",2
669,LG,7 kg,Front Load,1350,Not Specified,4.4,"11,490",2
670,IFB,8 kg,Unknown,1200,Not Specified,4.3,"32,990",4
671,SAMSUNG,8 Kg,Front Load,1300,Grey,4.4,"11,490",3
672,Haier,5 kg,Unknown,800,Not Specified,4.3,"12,790",2
673,realme,7 kg,Top Load,1400,Not Specified,4.2,"7,690",2
674,LG,5 kg,Unknown,1300,Not Specified,4.5,"14,490",2
675,LG,7 kg,Unknown,740,Not Specified,4.3,"17,990",2
676,IFB,6 kg,Unknown,1000,Not Specified,4.3000000000000185,"24,990",4
677,IFB,7 kg,Front Load,1000,Not Specified,4.3,"27,990",4
678,Haier,7 kg,Unknown,800,Not Specified,4.3,"14,190",2
679,realme,5 kg,Top Load,1400,Grey,4.2,"7,990",2
680,SAMSUNG,7 kg,Front Load,700,Grey,4.3,"17,990",3
681,IFB,7 kg,Unknown,720,Not Specified,4.3,"18,390",4
682,MarQ,6 kg,Top Load,1350,Not Specified,4.2,"6,790",2
683,Thomson,5 kg,Top Load,1400,Not Specified,4.1,"7,999",2
684,Whirlpool,5 kg,Unknown,1400,Not Specified,4.4,"13,290",4
685,SAMSUNG,8 kg,Front Load,700,Grey,4.3,"19,990",3
686,Haier,8 kg,Unknown,800,Not Specified,4.3,"16,990",2
687,Haier,8 kg,Unknown,800,Not Specified,4.3,"17,490",2
688,SAMSUNG,5 kg,Top Load,1350,Grey,4.4,"9,690",3
689,Haier,7 kg,Unknown,13001300,Not Specified,4.3,"8,990",2
690,IFB,7 kg,Unknown,1200,Not Specified,4.3,"28,590",4
691,IFB,8 kg,Unknown,1200,Not Specified,4.3,"33,990",4
692,realme,5 kg,Front Load,1400,Grey,4.2,"9,690",2
693,LG,7 kg,Front Load,1350,Not Specified,4.4,"11,490",2
694,IFB,8 kg,Unknown,1200,Not Specified,4.3,"32,990",4
695,SAMSUNG,8 Kg,Top Load,1300,Grey,4.4,"11,490",3
